# Read-Only Audit Report — evolve_clean

**Scope:** `c:\Users\Thomas\OneDrive\Desktop\Dashboard\evolve_clean`  
**Exclusions:** paths containing evolve_venv, .venv, __pycache__, .git, .cache, data, logs, .pytest_cache  
**File list:** 1,343 relative paths (one per line, sorted) generated via PowerShell; full list omitted here.

**ACTIVE/ORPHAN:** For each .py file, status was determined by searching other .py files (same exclusions) for the module stem (filename without .py), excluding the file itself. If at least one other file references the stem → ACTIVE; else ORPHAN. Note: A subset of .py files was checked (script capped at 200 and path normalization differed); pages, app entry points, and trading/* in the tables below are ACTIVE based on import/reference evidence. _dead_code and archive paths are ORPHAN.

---

## pages/
| File | Summary | Status |
|------|---------|--------|
| __init__.py | Package init for pages | ACTIVE |
| 0_Home.py | Evolve Home — personalized morning briefing and live market events monitor | ACTIVE |
| 1_Chat.py | Evolve Chat — natural-language conversational interface (front door) | ACTIVE |
| 2_Forecasting.py | Forecasting & market analysis; quick/advanced forecast, AI model selection, multi-model comparison | ACTIVE |
| 3_Strategy_Testing.py | Strategy testing and backtest UI | ACTIVE |
| 4_Trade_Execution.py | Trade execution and order management (market, limit, bracket, analytics) | ACTIVE |
| 5_Portfolio.py | Portfolio & positions; overview, attribution, optimization, rebalancing | ACTIVE |
| 6_Risk_Management.py | Risk management; VaR, Monte Carlo, stress testing | ACTIVE |
| 7_Performance.py | Performance & history; strategy performance, trade history, health monitoring | ACTIVE |
| 8_Model_Lab.py | Model laboratory; training, optimization, explainability, registry | ACTIVE |
| 9_Reports.py | Reports & exports; templates, custom builder, PDF/Excel/HTML | ACTIVE |
| 10_Alerts.py | Alerts & notifications; price/signal/risk/portfolio alerts, multi-channel | ACTIVE |
| 11_Admin.py | System administration; config, users, API keys, agents, health, logs | ACTIVE |
| 12_Memory.py | Memory management; view/edit/delete MemoryStore entries | ACTIVE |

---

## trading/models/
| File | Summary | Status |
|------|---------|--------|
| __init__.py | Exports BaseModel, LSTMModel, ForecastRouter, etc. | ACTIVE |
| base_model.py | Base class for all ML models with common functionality | ACTIVE |
| forecast_router.py | Router for selecting and managing forecasting models by data/perf/preferences | ACTIVE |
| arima_model.py | ARIMA model for time series forecasting with enhanced auto_arima support | ACTIVE |
| lstm_model.py | LSTM-based forecasting model with advanced features and robust error handling | ACTIVE |
| xgboost_model.py | XGBoost forecasting model | ACTIVE |
| prophet_model.py | Prophet forecasting model | ACTIVE |
| ridge_model.py | Ridge regression model for forecasting | ACTIVE |
| garch_model.py | GARCH model for volatility | ACTIVE |
| tcn_model.py | TCN (Temporal Convolutional Network) model | ACTIVE |
| catboost_model.py | CatBoost forecasting model | ACTIVE |
| ensemble_model.py | Ensemble forecasting model | ACTIVE |
| neuralforecast_models.py | NeuralForecast-based models | ACTIVE |
| model_registry.py | Model registry and registration | ACTIVE |
| model_utils.py | Model utilities | ACTIVE |
| dataset.py | Dataset utilities for models | ACTIVE |
| confidence_generator.py | Confidence generation for forecasts | ACTIVE |
| forecast_explainability.py | Forecast explainability | ACTIVE |
| forecast_features.py | Forecast feature engineering | ACTIVE |
| forecast_normalizer.py | Forecast normalization | ACTIVE |
| multi_model_aggregator.py | Multi-model aggregation | ACTIVE |
| transformer_wrapper.py | Transformer model wrapper | ACTIVE |
| advanced/ (gnn, lstm, rl, tcn, transformer, ensemble) | Advanced model variants (GNN, transformer, RL, etc.) | ACTIVE |

---

## trading/forecasting/
| File | Summary | Status |
|------|---------|--------|
| __init__.py | Package init (empty) | ACTIVE |
| hybrid_model.py | Hybrid ensemble with auto-updated weights and risk-aware weighting | ACTIVE |
| hybrid_model_selector.py | Selector for hybrid model configuration | ACTIVE |
| forecast_postprocessor.py | Postprocessing for forecasts | ACTIVE |
| postprocess.py | Dynamic EWMA alpha tuning for forecast processing | ACTIVE |

---

## trading/agents/
| File | Summary | Status |
|------|---------|--------|
| __init__.py | Package init | ACTIVE |
| agent_manager.py | Manages pluggable agents; registration, execution, Batch 12 retry/backoff | ACTIVE |
| agent_registry.py | Agent registration | ACTIVE |
| base_agent_interface.py | Base agent interface and types | ACTIVE |
| agent_leaderboard.py | Agent leaderboard | ACTIVE |
| commentary_agent.py | Commentary generation agent | ACTIVE |
| data_quality_agent.py | Data quality agent | ACTIVE |
| enhanced_prompt_router.py | Enhanced prompt routing | ACTIVE |
| execution_risk_agent.py | Execution risk agent | ACTIVE |
| execution_risk_control_agent.py | Execution risk control agent | ACTIVE |
| market_regime_agent.py | Market regime detection agent | ACTIVE |
| meta_strategy_agent.py | Meta strategy agent | ACTIVE |
| model_builder_agent.py | Model building agent | ACTIVE |
| model_evaluator_agent.py | Model evaluation agent | ACTIVE |
| model_improver_agent.py | Model improvement agent | ACTIVE |
| model_optimizer_agent.py | Model optimization agent | ACTIVE |
| model_selector_agent.py | Model selection agent | ACTIVE |
| model_synthesizer_agent.py | Model synthesis agent | ACTIVE |
| performance_critic_agent.py | Performance critic agent | ACTIVE |
| regime_detection_agent.py | Regime detection agent | ACTIVE |
| research_agent.py | Research agent | ACTIVE |
| strategy_dispatcher.py | Strategy dispatch | ACTIVE |
| strategy_improver_agent.py | Strategy improvement agent | ACTIVE |
| strategy_selector_agent.py | Strategy selection agent | ACTIVE |
| strategy_switcher.py | Strategy switching | ACTIVE |
| updater_agent.py | Updater agent | ACTIVE |
| task_dashboard.py | Task dashboard | ACTIVE |
| task_memory.py | Task memory | ACTIVE |
| intent_detector.py | Intent detection | ACTIVE |
| routing_engine.py | Routing engine | ACTIVE |
| rl_trainer.py | RL trainer | ACTIVE |
| prompt_templates.py | Prompt templates | ACTIVE |
| prompt_response_validator.py | Prompt response validation | ACTIVE |
| execution/ (execution_agent, risk_controls, position_manager, etc.) | Execution subpackage | ACTIVE |
| optimization/ (backtest_integration, strategy_optimizer, etc.) | Optimization subpackage | ACTIVE |
| upgrader/ (agent, scheduler, utils) | Upgrader subpackage | ACTIVE |
| launch_*, demo_*, test_* | Launchers and demos | ACTIVE |

---

## agents/
| File | Summary | Status |
|------|---------|--------|
| __init__.py | Package init | ACTIVE |
| agent_config.py | Agent configuration | ACTIVE |
| agent_controller.py | Agent controller | ACTIVE |
| registry.py | Agent registry | ACTIVE |
| task_router.py | Task routing | ACTIVE |
| orchestrator.py | Orchestration | ACTIVE |
| mock_agent.py | Mock agent for tests | ACTIVE |
| implementations/ (implementation_generator, model_benchmarker, research_fetcher) | Implementation helpers | ACTIVE |
| llm/ (agent, llm_interface, memory, model_loader, tools, llm_summary, active_llm_calls) | LLM integration | ACTIVE |
| llm_providers/ (anthropic_provider, local_provider) | LLM providers | ACTIVE |

---

## trading/data/
| File | Summary | Status |
|------|---------|--------|
| data_loader.py | Data loader for market data; single/multi ticker, validation | ACTIVE |
| data_listener.py | Data listener | ACTIVE |
| preprocessing.py | DataPreprocessor, FeatureEngineering, DataValidator, DataScaler | ACTIVE |
| news_fetcher.py | News fetching for context | ACTIVE |
| macro_data_integration.py | Macro data integration | ACTIVE |
| providers/ (fallback_provider, yfinance_provider, __init__) | Data providers | ACTIVE |

---

## trading/strategies/
| File | Summary | Status |
|------|---------|--------|
| __init__.py | Exports strategies | ACTIVE |
| base_strategy.py | Abstract base class for all trading strategies | ACTIVE |
| bollinger_strategy.py | Bollinger strategy | ACTIVE |
| macd_strategy.py | MACD strategy | ACTIVE |
| rsi_strategy.py | RSI strategy | ACTIVE |
| rsi_signals.py | RSI signals | ACTIVE |
| rsi_utils.py | RSI utilities | ACTIVE |
| sma_strategy.py | SMA strategy | ACTIVE |
| atr_strategy.py | ATR strategy | ACTIVE |
| cci_strategy.py | CCI strategy | ACTIVE |
| ensemble.py | Ensemble strategy | ACTIVE |
| ensemble_methods.py | Ensemble methods | ACTIVE |
| hybrid_engine.py | Hybrid strategy engine | ACTIVE |
| multi_strategy_hybrid_engine.py | Multi-strategy hybrid | ACTIVE |
| strategy_runner.py | Strategy runner | ACTIVE |
| strategy_router.py | Strategy router | ACTIVE |
| strategy_manager.py | Strategy manager | ACTIVE |
| strategy_comparison.py | Strategy comparison | ACTIVE |
| strategy_ranking.py | Strategy ranking | ACTIVE |
| strategy_composer.py | Strategy composer | ACTIVE |
| strategy_synthesizer.py | Strategy synthesizer | ACTIVE |
| strategy_fallback.py | Strategy fallback | ACTIVE |
| strategy_chain_router.py | Strategy chain router | ACTIVE |
| strategy_implementations.py | Strategy implementations | ACTIVE |
| registry.py | Strategy registry | ACTIVE |
| gatekeeper.py | Strategy gatekeeper | ACTIVE |
| validation.py | Strategy validation | ACTIVE |
| parameter_validator.py | Parameter validation | ACTIVE |
| custom_strategy_handler.py | Custom strategy handler | ACTIVE |
| enhanced_strategy_engine.py | Enhanced strategy engine | ACTIVE |
| breakout_strategy_engine.py | Breakout strategy engine | ACTIVE |
| pairs_trading_engine.py | Pairs trading engine | ACTIVE |
| composite_strategy.py | Composite strategy | ACTIVE |
| adaptive_selector.py | Adaptive strategy selector | ACTIVE |

---

## trading/portfolio/
| File | Summary | Status |
|------|---------|--------|
| __init__.py | Package init | ACTIVE |
| portfolio_manager.py | Portfolio manager with LLM commentary and optimization integration | ACTIVE |
| portfolio_simulator.py | Portfolio simulation | ACTIVE |
| position_sizer.py | Position sizing | ACTIVE |
| llm_utils.py | LLM utilities for daily commentary and trade rationale | ACTIVE |

---

## trading/analysis/
| File | Summary | Status |
|------|---------|--------|
| __init__.py | Package init | ACTIVE |
| market_monitor.py | Live market events monitor; scans watchlist for volume/price spikes | ACTIVE |
| chart_builder.py | Chart building for events | ACTIVE |
| event_news_fetcher.py | Fetch news around events | ACTIVE |
| news_ranker.py | Rank news by relevance | ACTIVE |

---

## trading/memory/
| File | Summary | Status |
|------|---------|--------|
| __init__.py | Package init | ACTIVE |
| agent_memory.py | Persistent memory for agent decisions, outcomes, history; expiration and overflow prevention | ACTIVE |
